,Unnamed: 0,Unnamed: 0.1,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENaN N+ NITRITENaNN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,year,npH,nD.O. (mg/l),nTOTAL COLIFORM (MPN/100ml)Mean,nB.O.D. (mg/l),nCONDUCTIVITY (µmhos/cm),nNITRATENaN N+ NITRITENaNN (mg/l),wph,wdo,wbdo,wec,wna,wco,wqi,new_WQI,new_WQI_fishes
16,16,16,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.1,7.3,7.0,188.0,1.0,0.1,3048.0,2014,100,100,40,100,60,100,16.5,28.1,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001,2,1
17,17,17,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,7.0,6.9,224.0,1.2,0.3,6742.0,2014,80,100,40,100,60,100,13.2,28.1,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,79.28,2,1
18,18,18,"RIVER MADAI AT DABOS NaN  VALPOI, GOA",GOA,28.7,7.3,6.7,144.0,1.5,0.1,3052.0,2014,60,100,40,100,80,100,9.9,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,76.16,2,1
19,19,19,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANAJI,GOA,29.5,5.3,6.8,319.0,1.8,0.3,10250.0,2014,80,80,0,100,0,100,13.2,22.480000000000004,23.4,0.0,2.8000000000000003,0.0,61.88000000000001,3,1
20,20,20,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONaN CANACONA NATIONAL HIGHWAY)",GOA,29.0,6.3,6.4,79.0,1.6,1.4,12842.0,2014,0,100,0,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,0.0,55.02,3,2
21,21,21,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.4,5.4,7.6,39.0,1.4,0.1,6367.0,2014,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
22,22,22,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.3,2.2,6.5,322.0,4.7,1.2,14920.0,2014,40,0,0,80,0,100,6.6000000000000005,0.0,18.72,0.0,2.8000000000000003,0.0,28.120000000000005,4,3
23,23,23,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.1,5.2,7.1,192.0,2.6,0.3,8925.0,2014,100,80,40,100,60,100,16.5,22.480000000000004,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,76.96000000000002,2,1
24,24,24,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.3,5.6,7.5,282.0,1.8,0.1,5082.0,2014,100,80,40,100,40,100,16.5,22.480000000000004,23.4,0.36,2.8000000000000003,11.240000000000002,76.78,2,1
25,25,25,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.5,5.5,7.4,275.0,1.5,0.1,8625.0,2014,100,80,40,100,40,100,16.5,22.480000000000004,23.4,0.36,2.8000000000000003,11.240000000000002,76.78,2,1
26,26,26,"RIVER TALPONA AT CANACONA, GOA",GOA,29.1,7.3,6.7,55.0,1.4,0.1,4003.0,2014,60,100,40,100,100,100,9.9,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,76.34,2,1
27,27,27,RIVER TIRACOL AT TIRACOL,GOA,30.1,6.5,7.5,415.0,2.0,0.1,1538.0,2014,100,100,40,100,0,100,16.5,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,82.03999999999998,2,1
28,28,28,"RIVER VALVANT AT SANKLI NaN BICHOLIM, GOA",GOA,29.2,7.2,6.3,100.0,1.5,0.1,13575.0,2014,0,100,0,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,0.0,55.02,3,2
261,261,261,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,30.0,5.6,7.5,41.0,2.0,0.08,13410.0,2013,100,80,0,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,0.0,66.08000000000001,3,1
262,262,263,RIVER ZUARI AT BORIM BRIDGE,GOA,30.8,5.5,7.1,123.0,1.5,0.09,6264.0,2013,100,80,40,100,80,100,16.5,22.480000000000004,23.4,0.72,2.8000000000000003,11.240000000000002,77.14000000000001,2,1
263,263,264,RIVER ZUARI AT MARCAIM JETTY,GOA,30.3,5.3,7.3,182.0,1.5,0.08,3080.0,2013,100,80,40,100,60,100,16.5,22.480000000000004,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,76.96000000000002,2,1
264,264,265,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.1,6.0,7.6,100.0,1.2,0.17,6086.0,2013,100,100,40,100,80,100,16.5,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,82.75999999999998,2,1
265,265,266,"MANDOVI AT TONCA, MARCELA, GOA",GOA,29.9,5.7,6.9,111.0,1.0,0.14,3061.0,2013,80,80,40,100,80,100,13.2,22.480000000000004,23.4,0.72,2.8000000000000003,11.240000000000002,73.84,2,1
266,266,267,RIVER MANDOVI AT AMONA BRIDGE,GOA,29.1,6.4,7.1,140.0,1.1,0.1,7908.0,2013,100,100,40,100,80,100,16.5,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,82.75999999999998,2,1
267,267,268,RIVER MANDOVI AT IFFI JETTY,GOA,29.9,6.2,7.8,44.0,2.0,0.06,9320.0,2013,100,100,40,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94,2,1
268,268,269,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,29.8,6.1,7.6,43.0,1.8,0.06,9554.0,2013,100,100,40,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94,2,1
269,269,270,"RIVER KALNA AT CHANDELNaN PERNEM, GOA",GOA,27.9,7.0,6.9,64.0,1.1,0.09,2841.0,2013,80,100,40,100,100,100,13.2,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,79.64000000000001,2,1
270,270,271,"RIVER ASSONORA AT ASSONORA, GOA",GOA,28.2,6.6,6.5,62.0,1.0,0.14,7190.0,2013,40,100,40,100,100,100,6.6000000000000005,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,73.04,2,1
271,271,272,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,29.6,7.0,6.8,304.0,2.0,0.49,23867.0,2013,80,100,0,100,0,100,13.2,28.1,23.4,0.0,2.8000000000000003,0.0,67.5,3,1
272,272,273,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.8,7.0,7.0,55.0,1.2,0.66,2813.0,2013,100,100,40,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94,2,1
273,273,274,RIVER CHAPORA AT SIOLIM,GOA,29.5,6.3,7.6,213.0,1.5,0.06,7069.0,2013,100,100,40,100,60,100,16.5,28.1,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001,2,1
274,274,275,"RIVER KHANDEPAR AT OPA NaN PONDA, GOA",GOA,29.8,6.7,6.8,83.0,1.2,0.17,3559.0,2013,80,100,40,100,80,100,13.2,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,79.46000000000002,2,1
275,275,276,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.7,7.1,6.6,76.0,1.0,0.12,3527.0,2013,40,100,40,100,80,100,6.6000000000000005,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,72.86000000000001,2,1
276,276,277,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,6.7,6.6,107.0,1.3,0.22,3757.0,2013,40,100,40,100,80,100,6.6000000000000005,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,72.86000000000001,2,1
277,277,278,"RIVER MADAI AT DABOS NaN  VALPOI, GOA",GOA,27.9,7.2,6.7,89.0,0.9,0.06,1996.0,2013,60,100,40,100,80,100,9.9,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,76.16,2,1
278,278,279,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANAJI,GOA,29.3,4.2,6.7,192.0,2.0,0.16,9286.0,2013,60,60,40,100,60,100,9.9,16.860000000000007,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,64.74000000000001,3,1
279,279,280,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONaN CANACONA NATIONAL HIGHWAY)",GOA,28.6,6.3,6.6,79.0,1.6,0.19,6054.0,2013,40,100,40,100,80,100,6.6000000000000005,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,72.86000000000001,2,1
280,280,281,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.8,5.6,7.7,142.0,1.7,0.14,3644.0,2013,100,80,40,100,80,100,16.5,22.480000000000004,23.4,0.72,2.8000000000000003,11.240000000000002,77.14000000000001,2,1
281,281,282,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.6,2.8,6.4,424.0,3.2,0.35,21036.0,2013,0,0,0,80,0,100,0.0,0.0,18.72,0.0,2.8000000000000003,0.0,21.520000000000003,5,3
282,282,283,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.6,5.2,7.1,306.0,2.6,0.34,1525.0,2013,100,80,40,100,0,100,16.5,22.480000000000004,23.4,0.0,2.8000000000000003,11.240000000000002,76.42000000000002,2,1
283,283,284,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.3,5.6,7.7,40.0,1.5,0.07,7130.0,2013,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
284,284,285,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.4,5.5,7.7,40.0,1.5,0.08,12282.0,2013,100,80,0,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,0.0,66.08000000000001,3,1
285,285,286,"RIVER TALPONA AT CANACONA, GOA",GOA,29.6,6.9,6.7,63.0,0.9,0.21,1132.0,2013,60,100,40,100,100,100,9.9,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,76.34,2,1
286,286,287,RIVER TIRACOL AT TIRACOL,GOA,29.6,6.3,7.6,227.0,1.7,0.08,3612.0,2013,100,100,40,100,40,100,16.5,28.1,23.4,0.36,2.8000000000000003,11.240000000000002,82.4,2,1
287,287,288,"RIVER VALVANT AT SANKLI NaN BICHOLIM, GOA",GOA,29.5,7.1,6.6,68.0,1.1,0.13,8167.0,2013,40,100,40,100,100,100,6.6000000000000005,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,73.04,2,1
510,510,512,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,31.0,5.9,7.2,52.0,2.1,0.08,90.0,2012,100,80,60,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,16.860000000000007,82.94000000000003,2,1
511,511,513,ZUARI AT PANCHAWADI,GOA,30.0,6.1,6.8,408.0,1.3,0.17,3808.0,2012,80,100,40,100,0,100,13.2,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,78.74000000000002,2,1
512,512,514,RIVER ZUARI AT BORIM BRIDGE,GOA,30.0,5.5,6.9,143.0,1.3,0.09,11113.0,2012,80,80,0,100,80,100,13.2,22.480000000000004,23.4,0.72,2.8000000000000003,0.0,62.60000000000001,3,1
513,513,515,RIVER ZUARI AT MARCAIM JETTY,GOA,29.0,5.4,7.2,60.0,1.5,0.08,2309.0,2012,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
514,514,516,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29.0,5.8,7.2,34.0,5.3,0.17,3322.0,2012,100,80,40,80,100,100,16.5,22.480000000000004,18.72,0.8999999999999999,2.8000000000000003,11.240000000000002,72.64,2,1
515,515,517,"MANDOVI AT TONCA, MARCELA",GOA,29.0,5.9,6.7,125.0,1.5,0.14,5793.0,2012,60,80,40,100,80,100,9.9,22.480000000000004,23.4,0.72,2.8000000000000003,11.240000000000002,70.53999999999998,2,1
516,516,518,MANDOVI AT AMONA BRIDGE,GOA,28.0,6.4,6.7,175.0,1.3,0.1,3636.0,2012,60,100,40,100,60,100,9.9,28.1,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,75.98000000000002,2,1
517,517,519,RIVER MANDOVI AT IFFI JETTY,GOA,30.0,6.2,7.7,39.0,1.3,0.06,4517.0,2012,100,100,40,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94,2,1
518,518,520,MANDOVI NEAR HOTEL MARRIOT,GOA,30.0,6.1,7.8,39.0,1.5,0.06,5840.0,2012,100,100,40,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94,2,1
519,519,521,KALNA AT CHANDELNaN PERNEM,GOA,27.0,7.3,6.9,61.0,0.7,0.09,4388.0,2012,80,100,40,100,100,100,13.2,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,79.64000000000001,2,1
520,520,522,RIVER ASSONORA AT ASSONORA,GOA,28.0,6.8,6.6,71.0,1.5,0.14,3949.0,2012,40,100,40,100,100,100,6.6000000000000005,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,73.04,2,1
521,521,523,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29.0,7.4,6.5,129.0,2.3,0.49,16691.0,2012,40,100,0,100,80,100,6.6000000000000005,28.1,23.4,0.72,2.8000000000000003,0.0,61.62000000000001,3,1
522,522,524,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.0,7.0,6.8,503.0,1.6,0.66,2404.0,2012,80,100,40,100,0,100,13.2,28.1,23.4,0.0,2.8000000000000003,11.240000000000002,78.74000000000002,2,1
523,523,525,RIVER CHAPORA AT SIOLIM,GOA,29.0,6.3,7.5,31.0,1.6,0.06,4267.0,2012,100,100,40,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94,2,1
524,524,526,KHANDEPAR AT OPA NaN PONDA,GOA,29.0,7.1,6.8,70.0,0.8,0.17,3567.0,2012,80,100,40,100,100,100,13.2,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,79.64000000000001,2,1
525,525,527,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,30.0,7.3,6.8,69.0,1.2,0.12,2446.0,2012,80,100,40,100,100,100,13.2,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,79.64000000000001,2,1
526,526,528,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.0,6.7,6.6,118.0,1.0,0.22,3496.0,2012,40,100,40,100,80,100,6.6000000000000005,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,72.86000000000001,2,1
527,527,529,RIVER MADAI AT DABOS NaN  VALPOI,GOA,28.0,7.4,6.8,80.0,1.3,0.06,1404.0,2012,80,100,40,100,80,100,13.2,28.1,23.4,0.72,2.8000000000000003,11.240000000000002,79.46000000000002,2,1
528,528,530,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANAJI,GOA,29.0,4.5,6.6,250.0,2.4,0.16,5889.0,2012,40,60,40,100,40,100,6.6000000000000005,16.860000000000007,23.4,0.36,2.8000000000000003,11.240000000000002,61.26000000000001,3,1
529,529,531,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONaN CANACONA NATIONAL HIGHWAY)",GOA,28.0,6.1,6.9,74.0,1.8,0.19,3937.0,2012,80,100,40,100,100,100,13.2,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,79.64000000000001,2,1
530,530,532,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,30.0,5.9,7.3,44.0,1.6,0.14,2794.0,2012,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
531,531,533,"SAL AT KHAREBAND, MARGAO",GOA,30.0,2.4,6.5,195.0,4.8,0.35,14217.0,2012,40,0,0,80,60,100,6.6000000000000005,0.0,18.72,0.5399999999999999,2.8000000000000003,0.0,28.660000000000004,4,3
532,532,534,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31.0,4.0,6.8,207.0,1.8,0.34,2280.0,2012,80,40,40,100,60,100,13.2,11.240000000000002,23.4,0.5399999999999999,2.8000000000000003,11.240000000000002,62.42,3,1
533,533,535,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29.0,5.4,7.6,40.0,1.6,0.07,1330.0,2012,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
534,534,536,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.0,5.3,7.6,41.0,1.4,0.08,2517.0,2012,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
535,535,537,RIVER TALPONA AT CANACONA,GOA,29.0,7.0,6.9,54.0,0.8,0.21,3059.0,2012,80,100,40,100,100,100,13.2,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,79.64000000000001,2,1
536,536,538,RIVER TIRACOL AT TIRACOL,GOA,29.0,5.9,7.7,44.0,2.1,0.08,831.0,2012,100,80,40,100,100,100,16.5,22.480000000000004,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,77.32000000000002,2,1
537,537,539,VALVANT AT SANKLI NaN BICHOLIM,GOA,29.0,7.1,6.5,60.0,1.7,0.13,8163.0,2012,40,100,40,100,100,100,6.6000000000000005,28.1,23.4,0.8999999999999999,2.8000000000000003,11.240000000000002,73.04,2,1
816,816,818,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,28.7,6.8,6.5,43.0,1.1,0.42,178.0,2011,40,100,60,100,100,100,6.6000000000000005,28.1,23.4,0.8999999999999999,2.8000000000000003,16.860000000000007,78.66000000000003,2,1
817,817,819,ZUARI AT PANCHAWADI,GOA,29.3,6.6,7.0,59.0,1.1,0.27,113.0,2011,100,100,60,100,100,100,16.5,28.1,23.4,0.8999999999999999,2.8000000000000003,16.860000000000007,88.56,2,1
818,818,820,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,28.8,6.0,6.2,106.0,1.5,0.28,166.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
819,819,821,"MANDOVI AT TONCA, MARCELA, GOA",GOA,28.3,5.9,6.6,516.0,1.1,0.18,169.0,2011,40,80,60,100,0,100,6.6000000000000005,22.480000000000004,23.4,0.0,2.8000000000000003,16.860000000000007,72.14,2,1
820,820,822,RIVER KALNA AT CHANDELNaN PERNEM,GOA,25.8,7.3,6.1,87.0,0.9,0.33,169.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
821,821,823,RIVER ASSONORA AT ASSONORA,GOA,28.3,7.3,5.9,74.0,1.5,0.22,163.0,2011,0,100,60,100,100,100,0.0,28.1,23.4,0.8999999999999999,2.8000000000000003,16.860000000000007,72.06,2,1
822,822,824,RIVER BICHOLIM VARAZAN NAGAR,GOA,27.8,6.7,6.3,127.0,2.0,0.44,149.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
823,823,825,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,26.0,6.8,6.2,226.0,1.6,0.18,151.0,2011,0,100,60,100,40,100,0.0,28.1,23.4,0.36,2.8000000000000003,16.860000000000007,71.52,2,1
824,824,826,RIVER KHANDEPAR AT OPA NaN PONDA,GOA,27.8,7.1,5.9,93.0,1.8,0.28,131.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
825,825,827,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,26.3,7.4,6.2,76.0,1.3,0.41,133.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
826,826,828,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,25.7,7.3,6.2,113.0,1.2,0.33,137.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
827,827,829,RIVER MADAI AT DABOS NaN  VALPOI,GOA,29.0,7.3,5.9,100.0,1.3,0.27,173.0,2011,0,100,60,100,80,100,0.0,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,71.88,2,1
828,828,830,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANAJI,GOA,26.9,6.0,5.9,273.0,1.8,0.31,171.0,2011,0,100,60,100,40,100,0.0,28.1,23.4,0.36,2.8000000000000003,16.860000000000007,71.52,2,1
829,829,831,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONaN CANACONA NATIONAL HIGHWAY)",GOA,27.0,6.1,6.5,201.0,2.0,0.43,149.0,2011,40,100,60,100,60,100,6.6000000000000005,28.1,23.4,0.5399999999999999,2.8000000000000003,16.860000000000007,78.30000000000003,2,1
830,830,832,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,27.5,6.2,6.3,245.0,1.8,0.31,135.0,2011,0,100,60,100,40,100,0.0,28.1,23.4,0.36,2.8000000000000003,16.860000000000007,71.52,2,1
831,831,833,RIVER TALPONA AT CANACONA,GOA,28.3,7.0,6.5,75.0,0.9,0.22,166.0,2011,40,100,60,100,100,100,6.6000000000000005,28.1,23.4,0.8999999999999999,2.8000000000000003,16.860000000000007,78.66000000000003,2,1
832,832,834,"VALVANT AT SANKLI NaN BICHOLIM, GOA",GOA,29.0,7.3,6.0,74.0,1.6,0.11,181.0,2011,0,100,60,100,100,100,0.0,28.1,23.4,0.8999999999999999,2.8000000000000003,16.860000000000007,72.06,2,1
198,198,198,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,25.5,7.2,7.5,119.0,2.3,3.8,74.0,2014,100,100,60,100,80,100,16.5,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,88.38,2,1
199,199,199,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,25.1,7.2,7.5,120.0,2.3,4.1,67.0,2014,100,100,60,100,80,100,16.5,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,88.38,2,1
200,200,200,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,25.2,7.5,7.3,82.0,1.8,2.8,70.0,2014,100,100,60,100,80,100,16.5,28.1,23.4,0.72,2.8000000000000003,16.860000000000007,88.38,2,1
